[2021-01-30 15:47:49,229] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 15:50:49,794] - [trainer.py file line:84] - INFO: init epoch: 1	 batch: 600
[2021-01-30 15:50:49,851] - [trainer.py file line:85] - INFO: rec_loss: 0.1108437851
[2021-01-30 15:53:51,421] - [trainer.py file line:84] - INFO: init epoch: 1	 batch: 1200
[2021-01-30 15:53:51,479] - [trainer.py file line:85] - INFO: rec_loss: 0.0858654976
[2021-01-30 15:54:27,689] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 15:57:28,958] - [trainer.py file line:84] - INFO: init epoch: 2	 batch: 600
[2021-01-30 15:57:29,014] - [trainer.py file line:85] - INFO: rec_loss: 0.0859740749
[2021-01-30 16:00:29,927] - [trainer.py file line:84] - INFO: init epoch: 2	 batch: 1200
[2021-01-30 16:00:29,984] - [trainer.py file line:85] - INFO: rec_loss: 0.0881977752
[2021-01-30 16:01:06,093] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 16:05:48,191] - [trainer.py file line:84] - INFO: epoch: 1	 batch: 600
[2021-01-30 16:05:48,252] - [trainer.py file line:85] - INFO: rec_loss: 0.1074346155
[2021-01-30 16:05:48,273] - [trainer.py file line:95] - INFO: per_loss: 0.0365574583
[2021-01-30 16:05:48,278] - [trainer.py file line:102] - INFO: tpl_loss: 0.0022763107
[2021-01-30 16:05:48,402] - [trainer.py file line:107] - INFO: adv_loss: -0.0591784157
[2021-01-30 16:10:30,392] - [trainer.py file line:84] - INFO: epoch: 1	 batch: 1200
[2021-01-30 16:10:30,451] - [trainer.py file line:85] - INFO: rec_loss: 0.1209694073
[2021-01-30 16:10:30,472] - [trainer.py file line:95] - INFO: per_loss: 0.0425613485
[2021-01-30 16:10:30,477] - [trainer.py file line:102] - INFO: tpl_loss: 0.0029564472
[2021-01-30 16:10:30,601] - [trainer.py file line:107] - INFO: adv_loss: -0.0927379355
[2021-01-30 16:11:26,959] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 16:16:08,985] - [trainer.py file line:84] - INFO: epoch: 2	 batch: 600
[2021-01-30 16:16:09,044] - [trainer.py file line:85] - INFO: rec_loss: 0.0925423428
[2021-01-30 16:16:09,065] - [trainer.py file line:95] - INFO: per_loss: 0.0282687452
[2021-01-30 16:16:09,070] - [trainer.py file line:102] - INFO: tpl_loss: 0.0016764335
[2021-01-30 16:16:09,192] - [trainer.py file line:107] - INFO: adv_loss: -0.0571081638
[2021-01-30 16:20:50,736] - [trainer.py file line:84] - INFO: epoch: 2	 batch: 1200
[2021-01-30 16:20:50,795] - [trainer.py file line:85] - INFO: rec_loss: 0.0662220269
[2021-01-30 16:20:50,816] - [trainer.py file line:95] - INFO: per_loss: 0.0252009798
[2021-01-30 16:20:50,821] - [trainer.py file line:102] - INFO: tpl_loss: 0.0015876504
[2021-01-30 16:20:50,942] - [trainer.py file line:107] - INFO: adv_loss: -0.0348801091
[2021-01-30 16:21:47,129] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 16:26:29,479] - [trainer.py file line:84] - INFO: epoch: 3	 batch: 600
[2021-01-30 16:26:29,538] - [trainer.py file line:85] - INFO: rec_loss: 0.0844312757
[2021-01-30 16:26:29,559] - [trainer.py file line:95] - INFO: per_loss: 0.0282825865
[2021-01-30 16:26:29,564] - [trainer.py file line:102] - INFO: tpl_loss: 0.0014288160
[2021-01-30 16:26:29,689] - [trainer.py file line:107] - INFO: adv_loss: -0.0509103686
[2021-01-30 16:31:11,064] - [trainer.py file line:84] - INFO: epoch: 3	 batch: 1200
[2021-01-30 16:31:11,121] - [trainer.py file line:85] - INFO: rec_loss: 0.1014268398
[2021-01-30 16:31:11,142] - [trainer.py file line:95] - INFO: per_loss: 0.0343621522
[2021-01-30 16:31:11,147] - [trainer.py file line:102] - INFO: tpl_loss: 0.0022867643
[2021-01-30 16:31:11,272] - [trainer.py file line:107] - INFO: adv_loss: -0.0556046031
[2021-01-30 16:32:07,407] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 16:36:49,237] - [trainer.py file line:84] - INFO: epoch: 4	 batch: 600
[2021-01-30 16:36:49,293] - [trainer.py file line:85] - INFO: rec_loss: 0.0959599689
[2021-01-30 16:36:49,314] - [trainer.py file line:95] - INFO: per_loss: 0.0324418843
[2021-01-30 16:36:49,319] - [trainer.py file line:102] - INFO: tpl_loss: 0.0016324786
[2021-01-30 16:36:49,443] - [trainer.py file line:107] - INFO: adv_loss: -0.0521740541
[2021-01-30 16:41:32,674] - [trainer.py file line:84] - INFO: epoch: 4	 batch: 1200
[2021-01-30 16:41:32,732] - [trainer.py file line:85] - INFO: rec_loss: 0.0859699696
[2021-01-30 16:41:32,753] - [trainer.py file line:95] - INFO: per_loss: 0.0274624228
[2021-01-30 16:41:32,757] - [trainer.py file line:102] - INFO: tpl_loss: 0.0015057313
[2021-01-30 16:41:32,882] - [trainer.py file line:107] - INFO: adv_loss: -0.0443548858
[2021-01-30 16:42:29,093] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 16:47:10,858] - [trainer.py file line:84] - INFO: epoch: 5	 batch: 600
[2021-01-30 16:47:10,917] - [trainer.py file line:85] - INFO: rec_loss: 0.0893950537
[2021-01-30 16:47:10,938] - [trainer.py file line:95] - INFO: per_loss: 0.0247148629
[2021-01-30 16:47:10,943] - [trainer.py file line:102] - INFO: tpl_loss: 0.0012803479
[2021-01-30 16:47:11,069] - [trainer.py file line:107] - INFO: adv_loss: -0.0393844955
[2021-01-30 16:51:54,322] - [trainer.py file line:84] - INFO: epoch: 5	 batch: 1200
[2021-01-30 16:51:54,379] - [trainer.py file line:85] - INFO: rec_loss: 0.0856340900
[2021-01-30 16:51:54,400] - [trainer.py file line:95] - INFO: per_loss: 0.0244074650
[2021-01-30 16:51:54,405] - [trainer.py file line:102] - INFO: tpl_loss: 0.0014163291
[2021-01-30 16:51:54,529] - [trainer.py file line:107] - INFO: adv_loss: -0.0421614982
[2021-01-30 16:52:50,620] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 16:57:31,791] - [trainer.py file line:84] - INFO: epoch: 6	 batch: 600
[2021-01-30 16:57:31,851] - [trainer.py file line:85] - INFO: rec_loss: 0.1024987102
[2021-01-30 16:57:31,872] - [trainer.py file line:95] - INFO: per_loss: 0.0343597010
[2021-01-30 16:57:31,876] - [trainer.py file line:102] - INFO: tpl_loss: 0.0020851186
[2021-01-30 16:57:32,001] - [trainer.py file line:107] - INFO: adv_loss: -0.0322616398
[2021-01-30 17:02:14,924] - [trainer.py file line:84] - INFO: epoch: 6	 batch: 1200
[2021-01-30 17:02:14,984] - [trainer.py file line:85] - INFO: rec_loss: 0.0992589667
[2021-01-30 17:02:15,005] - [trainer.py file line:95] - INFO: per_loss: 0.0289006196
[2021-01-30 17:02:15,010] - [trainer.py file line:102] - INFO: tpl_loss: 0.0012995367
[2021-01-30 17:02:15,136] - [trainer.py file line:107] - INFO: adv_loss: -0.0354686156
[2021-01-30 17:03:11,208] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 17:07:55,162] - [trainer.py file line:84] - INFO: epoch: 7	 batch: 600
[2021-01-30 17:07:55,209] - [trainer.py file line:85] - INFO: rec_loss: 0.1346293092
[2021-01-30 17:07:55,230] - [trainer.py file line:95] - INFO: per_loss: 0.0405353531
[2021-01-30 17:07:55,236] - [trainer.py file line:102] - INFO: tpl_loss: 0.0023021640
[2021-01-30 17:07:55,360] - [trainer.py file line:107] - INFO: adv_loss: -0.0531565659
[2021-01-30 17:12:37,746] - [trainer.py file line:84] - INFO: epoch: 7	 batch: 1200
[2021-01-30 17:12:37,804] - [trainer.py file line:85] - INFO: rec_loss: 0.0907102972
[2021-01-30 17:12:37,825] - [trainer.py file line:95] - INFO: per_loss: 0.0291194003
[2021-01-30 17:12:37,830] - [trainer.py file line:102] - INFO: tpl_loss: 0.0012859700
[2021-01-30 17:12:37,952] - [trainer.py file line:107] - INFO: adv_loss: -0.0441416055
[2021-01-30 17:13:34,176] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 17:18:15,205] - [trainer.py file line:84] - INFO: epoch: 8	 batch: 600
[2021-01-30 17:18:15,262] - [trainer.py file line:85] - INFO: rec_loss: 0.1200299859
[2021-01-30 17:18:15,283] - [trainer.py file line:95] - INFO: per_loss: 0.0316329263
[2021-01-30 17:18:15,288] - [trainer.py file line:102] - INFO: tpl_loss: 0.0017208920
[2021-01-30 17:18:15,410] - [trainer.py file line:107] - INFO: adv_loss: -0.0493972786
[2021-01-30 17:22:56,546] - [trainer.py file line:84] - INFO: epoch: 8	 batch: 1200
[2021-01-30 17:22:56,603] - [trainer.py file line:85] - INFO: rec_loss: 0.0696185157
[2021-01-30 17:22:56,625] - [trainer.py file line:95] - INFO: per_loss: 0.0266560242
[2021-01-30 17:22:56,630] - [trainer.py file line:102] - INFO: tpl_loss: 0.0013131425
[2021-01-30 17:22:56,755] - [trainer.py file line:107] - INFO: adv_loss: -0.0376952812
[2021-01-30 17:23:53,207] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 17:28:35,358] - [trainer.py file line:84] - INFO: epoch: 9	 batch: 600
[2021-01-30 17:28:35,417] - [trainer.py file line:85] - INFO: rec_loss: 0.1004968956
[2021-01-30 17:28:35,439] - [trainer.py file line:95] - INFO: per_loss: 0.0257137083
[2021-01-30 17:28:35,444] - [trainer.py file line:102] - INFO: tpl_loss: 0.0014804783
[2021-01-30 17:28:35,566] - [trainer.py file line:107] - INFO: adv_loss: -0.0402132571
[2021-01-30 17:33:16,883] - [trainer.py file line:84] - INFO: epoch: 9	 batch: 1200
[2021-01-30 17:33:16,941] - [trainer.py file line:85] - INFO: rec_loss: 0.0828701407
[2021-01-30 17:33:16,962] - [trainer.py file line:95] - INFO: per_loss: 0.0230407920
[2021-01-30 17:33:16,967] - [trainer.py file line:102] - INFO: tpl_loss: 0.0014941540
[2021-01-30 17:33:17,088] - [trainer.py file line:107] - INFO: adv_loss: -0.0443542004
[2021-01-30 17:34:13,242] - [trainer.py file line:64] - INFO: Current epoch learning rate: 1.000000e-04
[2021-01-30 17:38:54,562] - [trainer.py file line:84] - INFO: epoch: 10	 batch: 600
[2021-01-30 17:38:54,618] - [trainer.py file line:85] - INFO: rec_loss: 0.1340627968
[2021-01-30 17:38:54,640] - [trainer.py file line:95] - INFO: per_loss: 0.0396071747
[2021-01-30 17:38:54,645] - [trainer.py file line:102] - INFO: tpl_loss: 0.0023106437
[2021-01-30 17:38:54,770] - [trainer.py file line:107] - INFO: adv_loss: -0.0583043396
[2021-01-30 17:43:35,734] - [trainer.py file line:84] - INFO: epoch: 10	 batch: 1200
[2021-01-30 17:43:35,791] - [trainer.py file line:85] - INFO: rec_loss: 0.1078416854
[2021-01-30 17:43:35,812] - [trainer.py file line:95] - INFO: per_loss: 0.0307927784
[2021-01-30 17:43:35,817] - [trainer.py file line:102] - INFO: tpl_loss: 0.0013935132
[2021-01-30 17:43:35,942] - [trainer.py file line:107] - INFO: adv_loss: -0.0437920131
[2021-01-30 17:44:31,970] - [trainer.py file line:113] - INFO: saving the model...
[2021-01-30 17:44:32,033] - [trainer.py file line:121] - INFO: Epoch 10 evaluation process...
